CA2015,Men,women,total
CA11,2014347,1994785,4009132
CA12,6176513,5569822,11746335
CA13,2456518,2410865,4867383
CA14,2197798,2003318,4201116
CA15,1706372,1639282,3345654
CA16,3432822,3289452,6722274
CA17,858280,814597,1672877
CA18,3444468,3243390,6687858
CA19,581072,549177,1130249
CA21,673709,651187,1324896
CA31,2965123,2923865,5888988
CA32,21842033,20852959,42694992
CA33,16815095,16633359,33448454
CA34,1624838,1644165,3269003
CA35,19505966,16141747,35647713
CA36,4623927,4351818,8975745
CA51,1613838,1591182,3205020
CA52,2439569,2378188,4817757
CA53,1667930,1643826,3311756
CA61,1405921,1181063,2586984
CA62,928239,863968,1792207
CA63,1682013,1640779,3322792
CA64,1530884,1438146,2969030
CA65,1242,1096,2338
CA71,1175316,1112419,2287735
CA72,1330193,1264435,2594628
CA73,4249013,4063662,8312675
CA74,1070209,889993,1960202
CA75,494933,482029,976962
CA76,616858,597331,1214189
CA81,739470,720890,1460360
CA82,511677,487611,999288
CA91,367621,330053,697674
CA92,230747,217344,448091
