CA2015;Unemploymentrate2015;Unemploymentrate2016;Unemploymentrate2017;Unemploymentrate2018
CA11;14.87;11.57;13.29;11.37
CA12;10.13;10.47;8.90;8.38
CA13;11.41;10.78;11.77;9.62
CA14;9.80;12.38;10.37;8.68
CA15;10.06;9.03;8.67;7.61
CA16;10.44;9.66;8.73;8.31
CA17;13.01;10.37;10.47;8.50
CA18;8.18;7.18;10.49;9.35
CA19;8.55;7.14;5.90;5.96
CA21;3.52;2.85;4.22;3.87
CA31;2.45;2.33;2.55;1.97
CA32;8.32;6.18;6.28;5.38
CA33;6.52;6.20;6.38;5.21
CA34;4.20;5.21;4.40;4.26
CA35;8.41;7.01;6.14;5.83
CA36;6.49;7.84;4.91;4.23
CA51;2.64;3.60;3.48;2.36
CA52;18.32;13.87;17.27;16.95
CA53;12.85;11.11;12.90;12.40
CA61;10.39;7.97;10.14;9.23
CA62;9.33;8.95;9.15;7.24
CA63;8.27;8.34;7.64;5.95
CA64;5.89;6.69;4.90;4.22
CA65;5.44;4.32;7.24;7.70
CA71;9.30;7.91;9.24;8.25
CA72;11.25;9.88;11.64;10.48
CA73;9.68;7.82;9.52;7.57
CA74;10.43;9.19;10.76;11.16
CA75;8.23;7.83;8.13;9.32
CA76;12.81;9.27;11.71;8.67
CA81;11.03;10.94;12.33;9.36
CA82;15.34;7.23;9.90;7.78
CA92;11.96;11.46;12.27;8.56
CA91;11.68;13.07;11.25;7.83
